date,close,volume,open,high,low
4/18/2017,135.320007,24553300,134.720001,135.460007,134.160004
4/19/2017,135.789993,34627600,135.690002,136.960007,135.539993
4/20/2017,137.520004,31934400,136.339996,137.669998,136.149994
4/21/2017,137.210007,29386000,137.240005,137.550003,136.710007
4/24/2017,138.919998,33836900,139.080002,139.339996,138.490005
4/25/2017,140.270004,32751700,140.240005,140.880005,140.089996
4/26/2017,140.990005,41669200,140.169998,141.820007,140.130005
4/27/2017,140.949997,23004300,141.339996,141.800003,140.479996
4/28/2017,139.059998,28206700,141.029999,141.169998,139.039993
5/1/2017,139.860001,20925200,139.639999,140.289993,138.779999
5/2/2017,139.149994,17993900,139.979996,140.339996,138.690002
5/3/2017,138.289993,27050300,138.490005,138.759995,137.690002
5/4/2017,138.100006,25799100,138.529999,138.729996,137.110001
5/5/2017,138.990005,23806500,138.690002,138.990005,137.529999
5/8/2017,138.410004,16680000,138.660004,138.979996,137.759995
5/9/2017,138.350006,23988400,138.589996,138.830002,137.779999
5/10/2017,139.210007,19791500,138.039993,139.479996,137.860001
5/11/2017,138.240005,28617300,138.669998,138.830002,136.979996
5/12/2017,137.509995,24111200,137.710007,137.889999,137.160004
5/15/2017,138.580002,31132200,137.979996,139.25,137.979996
5/16/2017,138.630005,18520900,138.970001,139.039993,137.619995
5/17/2017,134.889999,50791200,136.330002,137.039993,134.75
5/18/2017,135.380005,44805100,134.570007,135.899994,134.229996
5/19/2017,136.029999,44450500,135.639999,136.759995,135.419998
5/22/2017,136.949997,20062700,136.259995,137.199997,136.160004
5/23/2017,137.399994,16681400,137.289993,137.690002,136.350006
5/24/2017,137.490005,21256000,137.509995,138.029999,136.830002
5/25/2017,137.580002,22804200,138.139999,138.610001,137.199997
5/26/2017,137.539993,20047300,137.380005,137.789993,136.779999
5/30/2017,136.460007,25544100,137.119995,137.440002,136.220001
5/31/2017,136.320007,34345400,136.839996,136.919998,134.639999
6/1/2017,138.949997,44618600,136.720001,139,136.270004
6/2/2017,139.850006,46680200,139.449997,141.020004,139.050003
6/5/2017,138.979996,20808900,139.960007,140.110001,138.949997
6/6/2017,138.850006,25460900,138.110001,139.660004,137.809998
6/7/2017,138.979996,20542200,138.860001,139.529999,138.490005
6/8/2017,140.880005,33536300,138.979996,141.460007,138.740005
6/9/2017,141.610001,56979400,141.460007,142.899994,140.699997
6/12/2017,141.380005,34665500,141.660004,141.990005,140.889999
6/13/2017,142.100006,22046800,141.800003,142.309998,141.470001
6/14/2017,141.259995,33021900,142.029999,142.039993,140.449997
6/15/2017,140.539993,27376800,139.690002,140.979996,139.690002
6/16/2017,140.190002,35608400,140.029999,140.220001,139.279999
6/19/2017,141.229996,25163300,140.559998,141.580002,140.509995
6/20/2017,139.800003,20111900,140.880005,140.970001,139.699997
6/21/2017,139.449997,23351400,140.050003,140.800003,139.220001
6/22/2017,139.979996,17917200,139.369995,140.389999,139.009995
6/23/2017,140.910004,20772500,140.139999,141.080002,139.550003
6/26/2017,141.080002,22988300,141.089996,141.529999,140.199997
6/27/2017,139.839996,24610100,141.100006,141.619995,139.75
6/28/2017,141.979996,25085400,140.669998,142.259995,140.399994
6/29/2017,141.139999,38794900,142.240005,142.350006,139.649994
6/30/2017,140.919998,22798500,141.25,141.669998,140.770004
7/3/2017,142.100006,12968200,141.339996,142.5,141.300003
7/5/2017,141.589996,21865500,141.699997,141.850006,140.699997
7/6/2017,139.139999,30563400,139.929993,140.470001,138.830002
7/7/2017,140.490005,20511000,139.429993,140.679993,139.179993
7/10/2017,139.880005,17206000,139.919998,140.889999,139.369995
7/11/2017,140.289993,16192900,139.779999,140.380005,138.979996
7/12/2017,141.369995,19358600,141.050003,142.220001,141.009995
7/13/2017,141.490005,16559300,141.199997,141.559998,140.380005
7/14/2017,141.729996,15465300,141.100006,142.300003,141.100006
7/17/2017,142.059998,15374600,141.600006,142.460007,141.259995
7/18/2017,141.690002,16653300,141.539993,141.869995,141.039993
7/19/2017,143.100006,16985500,141.880005,143.139999,141.880005
7/20/2017,143.199997,17047800,143.119995,143.520004,142.800003
7/21/2017,142.550003,21662700,143.009995,143.330002,142.25
7/24/2017,142.75,16694000,142.309998,142.820007,141.970001
7/25/2017,144.050003,21066400,143.619995,144.25,143.210007
7/26/2017,143.25,13574900,144.149994,144.149994,143.050003
7/27/2017,142.339996,24355800,143.479996,143.679993,141.550003
7/28/2017,141.960007,19933300,142.020004,142.360001,141.470001
7/31/2017,141.509995,16417700,142.220001,142.380005,140.970001
